Rank,Name,City,State,Public_Private,Undergraduate_Population,Student_Population,Net_Price,Average_Grant_Aid,Total_Annual_Cost,Alumni_Salary,Acceptance_Rate,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,Website,,,
201,University of South Carolina,Columbia,SC,Public,26791,34731,26976,5792,47162,89900,72,1170,1330,25,30,www.sc.edu,,,
321,University of Evansville,Evansville,IN,Private,2516,2537,26933,26391,50868,89900,70,1020,1255,22,29,www.evansville.edu,,,
310,Presbyterian College,Clinton,SC,Private,1135,1280,26883,31372,51910,89900,65,1020,1250,21,27,www.presby.edu,,,
582,Alma College,Alma,MI,Private,1426,1484,26865,28481,52475,89900,64,1030,1230,20,27,www.alma.edu,,,
515,Northern Arizona University,Flagstaff,AZ,Public,29609,31051,26838,10044,40705,90000,81,,,,,nau.edu,,,
458,Canisius College,Buffalo,NY,Private,2861,3464,26838,26244,52172,90000,78,1040,1260,22,28,www.canisius.edu,,,
286,Bennington College,Bennington,VT,Private,782,851,26808,35753,70760,90000,57,,,,,www.bennington.edu/Home.aspx,,,
563,Southern Illinois University Edwardsville,Edwardsville,IL,Public,13294,13796,26766,6756,37774,90100,90,980,1225,20,26,www.siue.edu,,,
263,Point Loma Nazarene University,San Diego,CA,Private,3313,4417,26760,16687,49844,90100,76,1100,1290,23,28,https://www.pointloma.edu,,,
507,University of North Texas,Denton,TX,Public,35099,38276,26717,10638,33908,90100,72,1060,1260,21,27,www.unt.edu,,,
364,Florida International University,Miami,FL,Public,55835,56718,26670,6471,36086,90100,54,1080,1240,22,27,www.fiu.edu,,,
339,Hendrix College,Conway,AR,Private,1249,1354,26607,35974,60096,90300,80,1100,1410,24,31,www.hendrix.edu,,,
590,"University of Wisconsin, Milwaukee",Milwaukee,WI,Public,24337,24988,26606,5647,35510,90300,72,,,20,25,www.uwm.edu,,,
548,"University of Nevada, Las Vegas",Las Vegas,NV,Public,27561,30471,26532,4998,37639,90400,81,1030,1240,19,24,www.unlv.edu,,,
460,Hamline University,Saint Paul,MN,Private,2346,3734,26450,26309,52178,90400,69,1015,1260,20,26,www.hamline.edu,,,
532,Portland State University,Portland,OR,Public,26693,27483,26297,6772,43989,90500,92,990,1220,19,25,www.pdx.edu,,,
169,Samford University,Birmingham,AL,Private,3446,5509,26292,14879,46474,90500,83,1080,1280,23,29,www.samford.edu,,,
455,University of La Verne,La Verne,CA,Private,6653,8159,26264,24969,59826,90500,48,1020,1193,19,25,laverne.edu,,,
225,Taylor University,Upland,IN,Private,2145,2831,26255,17726,45330,90600,87,1045,1290,22,29,www.taylor.edu,,,
410,Goucher College,Baltimore,MD,Private,1508,2236,26239,29040,59810,90600,79,,,,,www.goucher.edu,,,
508,Texas State University,San Marcos,TX,Public,37449,38666,26218,8129,34245,90600,73,1020,1200,20,26,www.txstate.edu,,,
436,Cornell College (IA),Mount Vernon,IA,Private,1006,1009,26175,26957,55954,90600,65,1100,1340,23,29,www.cornellcollege.edu/index.shtml,,,
230,Bard College,Annandale-on-Hudson,NY,Private,2101,2293,26136,39096,70562,90600,58,,,,,www.bard.edu,,,
449,Bellarmine University,Louisville,KY,Private,2903,3757,26075,28601,59306,90700,89,1050,1210,22,27,www.bellarmine.edu,,,
513,Georgia State University,Atlanta,GA,Public,29773,32816,26037,10090,40873,90800,70,1040,1220,19,26,www.gsu.edu,,,
544,University of Colorado Colorado Springs,Colorado Springs,CO,Public,12932,14122,25937,5682,36298,90900,93,1040,1250,21,26,www.uccs.edu,,,
629,Southern Illinois University Carbondale,Carbondale,IL,Public,13518,14554,25898,10924,42770,90900,76,920,1330,20,26,siu.edu,,,
247,Hope College,Holland,MI,Private,3150,3281,25871,15907,45410,90900,74,1090,1320,24,29,hope.edu,,,
531,"Minnesota State University, Mankato",Mankato,MN,Public,14712,15273,25747,5108,28278,90900,61,,,20,24,www.mnsu.edu,,,
441,Abilene Christian University,Abilene,TX,Private,3806,5145,25710,18599,48300,90900,58,1025,1220,21,26,www.acu.edu,,,
554,Lycoming College,Williamsport,PA,Private,1217,1404,25672,31000,53870,91000,64,988,1200,21,25,www.lycoming.edu,,,
402,California Institute of the Arts,,CA,Private,991,1498,25629,15401,68993,91000,24,,,,,,,,
266,Calvin University,Grand Rapids,MI,Private,3840,4232,25621,18532,46790,91100,83,1100,1330,23,30,https://www.calvin.edu,,,
